"","test_atp","atp_paris$winner"
"1","not betting","Karen Khachanov"
"2","Roger Federer","Novak Djokovic"
"3","Dominic Thiem","Karen Khachanov"
"4","Roger Federer","Roger Federer"
"5","not betting","Novak Djokovic"
"6","not betting","Dominic Thiem"
"7","not betting","Karen Khachanov"
"8","not betting","Kei Nishikori"
"9","not betting","Roger Federer"
"10","not betting","Dominic Thiem"
"11","Malek Jaziri","Jack Sock"
"12","not betting","Alexander Zverev"
"13","John Isner","Karen Khachanov"
"14","not betting","Marin Cilic"
"15","not betting","Borna Coric"
"16","not betting","Dominic Thiem"
"17","not betting","Diego Sebastian Schwartzman"
"18","not betting","Malek Jaziri"
"19","Kevin Anderson","Kevin Anderson"
"20","Jack Sock","Jack Sock"
"21","Grigor Dimitrov","Grigor Dimitrov"
"22","not betting","Alexander Zverev"
"23","John Isner","John Isner"
"24","not betting","Kei Nishikori"
"25","not betting","Marin Cilic"
"26","not betting","Novak Djokovic"
"27","not betting","Milos Raonic"
"28","Lucas Pouille","Gilles Simon"
"29","Damir Dzumhur","Damir Dzumhur"
"30","not betting","Marton Fucsovics"
"31","not betting","Mikhail Kukushkin"
"32","Pablo Carreno Busta","Daniil Medvedev"
"33","not betting","Fernando Verdasco"
"34","not betting","Francis Tiafoe"
"35","Denis Shapovalov","Richard Gasquet"
"36","Alex De Minaur","Feliciano Lopez"
"37","Joao Sousa","Joao Sousa"
"38","Adrian Mannarino","Adrian Mannarino"
"39","Steve Johnson","Roberto Bautista Agut"
"40","not betting","Philipp Kohlschreiber"
"41","not betting","Damir Dzumhur"
"42","not betting","Karen Khachanov"
